soc,function,vendor_size,candidate_size,delta
an7581,APHY_RG_Check,572,492,-80
an7581,APHY_RG_Setting_Before_K,564,556,-8
an7581,DFSInitForCalibration,148,148,0
an7581,DQSSTBSettings,108,116,8
an7581,DV_InitialSettings,42,42,0
an7581,DramcCKEDebounce,72,72,0
an7581,DramcEnablePerBankRefresh,2,2,0
an7581,DramcHWGatingDebugOnOff,112,104,-8
an7581,DramcHWGatingOnOff,60,64,4
an7581,DramcInit,4,4,0
an7581,DramcInit_DutyCalibration,86,86,0
an7581,DramcModifiedRefreshMode,36,36,0
an7581,DramcRefreshRateDeBounceEnable,20,20,0
an7581,DramcRunTimeConfig,84,88,4
an7581,DramcShuTrackingDcmEnBySRAM,26,26,0
an7581,EnableCommonDCMShuffle,148,148,0
an7581,EnableDramcPhyDCM,44,44,0
an7581,EnableDramcPhyDCMNonShuffle,840,788,-52
an7581,EnableDramcPhyDCMShuffle,248,268,20
an7581,EnableRxDcmDPhy,24,24,0
an7581,Enable_ClkTxRxLatchEn,212,192,-20
an7581,Global_Option_Init,18,18,0
an7581,MPLLInit,312,268,-44
an7581,PC3_UpdateInitialSettings,336,320,-16
an7581,PC4_UpdateInitialSettings,304,292,-12
an7581,RODTSettings,436,416,-20
an7581,S0_DCMOffWA,20,20,0
an7581,SA_InitialSettings1,120,118,-2
an7581,SA_InitialSettings2,38,38,0
an7581,SetCKE2RankIndependent,6,6,0
an7581,SetMck8xLowPwrOption,20,20,0
an7581,vReplaceDVInit,1884,1668,-216
an7583,APHY_RG_Check,572,492,-80
an7583,APHY_RG_Setting_Before_K,460,468,8
an7583,DFSInitForCalibration,148,148,0
an7583,DQSSTBSettings,112,116,4
an7583,DV_InitialSettings,42,42,0
an7583,DramcCKEDebounce,72,72,0
an7583,DramcDRVinitSetting,716,664,-52
an7583,DramcEnablePerBankRefresh,2,2,0
an7583,DramcHWGatingDebugOnOff,112,104,-8
an7583,DramcHWGatingOnOff,60,64,4
an7583,DramcInit,4,4,0
an7583,DramcInit_DutyCalibration,66,66,0
an7583,DramcModifiedRefreshMode,36,36,0
an7583,DramcRefreshRateDeBounceEnable,20,20,0
an7583,DramcRunTimeConfig,84,88,4
an7583,DramcShuTrackingDcmEnBySRAM,26,26,0
an7583,EnableCommonDCMShuffle,112,116,4
an7583,EnableDramcPhyDCM,44,44,0
an7583,EnableDramcPhyDCMNonShuffle,812,756,-56
an7583,EnableDramcPhyDCMShuffle,248,268,20
an7583,EnableRxDcmDPhy,24,24,0
an7583,Enable_ClkTxRxLatchEn,212,192,-20
an7583,FreqByMPLLRG,32,28,-4
an7583,Global_Option_Init,18,18,0
an7583,MPLLInit,256,128,-128
an7583,MPLLInit_SSC,136,132,-4
an7583,PC3_UpdateInitialSettings,336,320,-16
an7583,PC4_UpdateInitialSettings,304,292,-12
an7583,RODTSettings,412,372,-40
an7583,S0_DCMOffWA,20,20,0
an7583,SA_InitialSettings1,120,118,-2
an7583,SA_InitialSettings2,38,38,0
an7583,SetCKE2RankIndependent,6,6,0
an7583,SetMck8xLowPwrOption,20,20,0
an7583,vReplaceDVInit,1820,1616,-204
