soc,function,vendor_calls,candidate_calls,exact
an7581,PC3_UpdateInitialSettings,vIO32WriteMsk;vIO32WriteMsk;vReplaceDVInit;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;SetMck8xLowPwrOption,vIO32WriteMsk;vIO32WriteMsk;vReplaceDVInit;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk,False
an7581,PC4_UpdateInitialSettings,vPhyByteWriteFldAlign;vReplaceDVInit;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;SetMck8xLowPwrOption,vPhyByteWriteFldAlign;vReplaceDVInit;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk,False
an7581,RODTSettings,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vIO32WriteMsk;vIO32WriteMsk;is_ddr4_family;u1GetRank;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;is_ddr3_family;vSetRank;vIO32WriteMsk;vIO32WriteMsk,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vIO32WriteMsk;vIO32WriteMsk;is_ddr4_family;is_ddr3_family;u1GetRank;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign,False
an7581,EnableCommonDCMShuffle,vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,True
an7581,EnableDramcPhyDCMShuffle,EnableCommonDCMShuffle;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,EnableCommonDCMShuffle;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,False
an7583,PC3_UpdateInitialSettings,vIO32WriteMsk;vIO32WriteMsk;vReplaceDVInit;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;SetMck8xLowPwrOption,vIO32WriteMsk;vIO32WriteMsk;vReplaceDVInit;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk,False
an7583,PC4_UpdateInitialSettings,vPhyByteWriteFldAlign;vReplaceDVInit;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;SetMck8xLowPwrOption,vPhyByteWriteFldAlign;vReplaceDVInit;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;DQSSTBSettings;RODTSettings;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk,False
an7583,RODTSettings,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vIO32WriteMsk;vIO32WriteMsk;is_ddr4_family;u1GetRank;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;is_ddr3_family;vSetRank;vIO32WriteMsk;vIO32WriteMsk,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vIO32WriteMsk;vIO32WriteMsk;is_ddr4_family;is_ddr3_family;u1GetRank;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vSetRank;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign,False
an7583,EnableCommonDCMShuffle,vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,True
an7583,EnableDramcPhyDCMShuffle,EnableCommonDCMShuffle;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All,EnableCommonDCMShuffle;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,False
