soc,function,vendor_size,candidate_size,delta,direct_calls_exact,vendor_calls,candidate_direct_calls
an7581,APHY_RG_Check,572,508,-64,False,printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf;printf,
an7581,APHY_RG_Setting_Before_K,564,580,16,False,printf;vGetPHY2ChannelMapping;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vSetPHY2ChannelMapping;vPhyByteWriteFldAlign;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vSetPHY2ChannelMapping;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping,printf;vGetPHY2ChannelMapping;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vSetPHY2ChannelMapping;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping;vSetPHY2ChannelMapping;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vSetPHY2ChannelMapping
an7581,DFSInitForCalibration,148,160,12,False,DV_InitialSettings;SA_InitialSettings1;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;is_ddr4_family;PC4_DRAM_INIT;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;vSetPHY2ChannelMapping;is_ddr3_family;PC3_DRAM_INIT;vSetPHY2ChannelMapping;DIG_HW_NONSHUF_SWITCH;SA_InitialSettings2,DV_InitialSettings;SA_InitialSettings1;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;is_ddr4_family;PC4_DRAM_INIT;is_ddr3_family;PC3_DRAM_INIT;DramcBroadcastOnOff;SetClkFreeRun;DramcBroadcastOnOff;vSetPHY2ChannelMapping;DIG_HW_NONSHUF_SWITCH;vSetPHY2ChannelMapping;SA_InitialSettings2
an7581,DQSSTBSettings,108,128,20,False,is_ddr4_family;is_ddr3_family;vIO32WriteMsk;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign,is_ddr4_family;is_ddr3_family;vIO32WriteMsk
an7581,DV_InitialSettings,42,44,2,True,DramcBroadcastOnOff;ANA_init;DIG_STATIC_SETTING;DIG_CONFIG_SHUF;DramcBroadcastOnOff,DramcBroadcastOnOff;ANA_init;DIG_STATIC_SETTING;DIG_CONFIG_SHUF;DramcBroadcastOnOff
an7581,DramcCKEDebounce,72,88,16,True,vSetRank;vIO32WriteMsk_All;vSetRank,vSetRank;vIO32WriteMsk_All;vSetRank
an7581,DramcEnablePerBankRefresh,2,2,0,True,,
an7581,DramcHWGatingDebugOnOff,112,108,-4,False,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7581,DramcHWGatingOnOff,60,72,12,False,vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All,
an7581,DramcInit,4,4,0,True,,
an7581,DramcInit_DutyCalibration,86,96,10,False,vGetPHY2ChannelMapping;GetDramcBroadcast;CKE_FIX_ON;CKE_FIX_ON;DramcBroadcastOnOff;vSetPHY2ChannelMapping;vSetPHY2ChannelMapping;DramcNewDutyCalibration;DramcBroadcastOnOff,vGetPHY2ChannelMapping;GetDramcBroadcast;CKE_FIX_ON;CKE_FIX_ON;DramcBroadcastOnOff;vSetPHY2ChannelMapping;DramcNewDutyCalibration;vSetPHY2ChannelMapping;DramcBroadcastOnOff
an7581,DramcModifiedRefreshMode,36,40,4,True,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All
an7581,DramcRefreshRateDeBounceEnable,20,20,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7581,DramcRunTimeConfig,84,88,4,True,DramcHWGatingDebugOnOff;vIO32WriteMsk_All;DramcShuTrackingDcmEnBySRAM;DramcRefreshRateDeBounceEnable;vAutoRefreshSwitch;vPhyByteIO32WriteMsk_All;vIO32WriteMsk,DramcHWGatingDebugOnOff;vIO32WriteMsk_All;DramcShuTrackingDcmEnBySRAM;DramcRefreshRateDeBounceEnable;vAutoRefreshSwitch;vPhyByteIO32WriteMsk_All;vIO32WriteMsk
an7581,DramcShuTrackingDcmEnBySRAM,26,28,2,True,EnableRxDcmDPhy;Enable_ClkTxRxLatchEn;EnableDramcPhyDCMShuffle,EnableRxDcmDPhy;Enable_ClkTxRxLatchEn;EnableDramcPhyDCMShuffle
an7581,EnableDramcPhyDCM,44,54,10,True,GetDramcBroadcast;DramcBroadcastOnOff;EnableDramcPhyDCMNonShuffle;EnableDramcPhyDCMShuffle;DramcBroadcastOnOff,GetDramcBroadcast;DramcBroadcastOnOff;EnableDramcPhyDCMNonShuffle;EnableDramcPhyDCMShuffle;DramcBroadcastOnOff
an7581,EnableRxDcmDPhy,24,24,0,True,vPhyByteIO32WriteMsk_All,vPhyByteIO32WriteMsk_All
an7581,Enable_ClkTxRxLatchEn,212,204,-8,False,vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign;vPhyByteWriteFldAlign,
an7581,Global_Option_Init,18,20,2,True,vSetRankNumber;vInitGlobalVariablesByCondition,vSetRankNumber;vInitGlobalVariablesByCondition
an7581,MPLLInit,312,280,-32,True,printf;udelay;printf,printf;udelay;printf
