soc,callee,vendor_calls,source_calls,delta
an7581,vPhyByteIO32WriteMsk,4,4,0
an7581,vSetRank,2,2,0
an7581,vIO32WriteMsk,2,2,0
an7581,GetDramcBroadcast,1,1,0
an7581,DramcBroadcastOnOff,2,2,0
an7581,is_ddr3_family,2,2,0
an7581,is_ddr4_family,1,1,0
an7581,vPhyByteIO32WriteMsk_All,47,47,0
an7581,vPhyByteWriteFldAlign,4,4,0
an7581,vIO32WriteMsk_All,34,34,0
an7583,vPhyByteIO32WriteMsk,4,4,0
an7583,vSetRank,2,2,0
an7583,vIO32WriteMsk,2,2,0
an7583,GetDramcBroadcast,1,1,0
an7583,DramcBroadcastOnOff,2,2,0
an7583,is_ddr3_family,2,2,0
an7583,is_ddr4_family,1,1,0
an7583,vPhyByteIO32WriteMsk_All,44,44,0
an7583,vPhyByteWriteFldAlign,4,4,0
an7583,vIO32WriteMsk_All,34,34,0
