soc,function,vendor_size,candidate_size,delta
an7581,APHY_RG_Check,572,660,88
an7581,APHY_RG_Setting_Before_K,564,656,92
an7581,DFSInitForCalibration,148,166,18
an7581,DQSSTBSettings,108,132,24
an7581,DV_InitialSettings,42,44,2
an7581,DramcCKEDebounce,72,92,20
an7581,DramcEnablePerBankRefresh,2,2,0
an7581,DramcHWGatingDebugOnOff,112,114,2
an7581,DramcHWGatingOnOff,60,74,14
an7581,DramcInit,4,4,0
an7581,DramcInit_DutyCalibration,86,100,14
an7581,DramcModifiedRefreshMode,36,40,4
an7581,DramcRefreshRateDeBounceEnable,20,20,0
an7581,DramcRunTimeConfig,84,106,22
an7581,DramcShuTrackingDcmEnBySRAM,26,52,26
an7581,EnableCommonDCMShuffle,148,170,22
an7581,EnableDramcPhyDCM,44,54,10
an7581,EnableDramcPhyDCMNonShuffle,840,868,28
an7581,EnableDramcPhyDCMShuffle,248,290,42
an7581,EnableRxDcmDPhy,24,28,4
an7581,Enable_ClkTxRxLatchEn,212,226,14
an7581,Global_Option_Init,18,20,2
an7581,MPLLInit,312,310,-2
an7581,PC3_UpdateInitialSettings,336,378,42
an7581,PC4_UpdateInitialSettings,304,350,46
an7581,RODTSettings,436,494,58
an7581,S0_DCMOffWA,20,22,2
an7581,SA_InitialSettings1,120,120,0
an7581,SA_InitialSettings2,38,40,2
an7581,SetCKE2RankIndependent,6,6,0
an7581,SetMck8xLowPwrOption,20,22,2
an7581,vReplaceDVInit,1884,1898,14
an7583,APHY_RG_Check,572,660,88
an7583,APHY_RG_Setting_Before_K,460,534,74
an7583,DFSInitForCalibration,148,166,18
an7583,DQSSTBSettings,112,138,26
an7583,DV_InitialSettings,42,44,2
an7583,DramcCKEDebounce,72,92,20
an7583,DramcDRVinitSetting,716,756,40
an7583,DramcEnablePerBankRefresh,2,2,0
an7583,DramcHWGatingDebugOnOff,112,114,2
an7583,DramcHWGatingOnOff,60,74,14
an7583,DramcInit,4,4,0
an7583,DramcInit_DutyCalibration,66,80,14
an7583,DramcModifiedRefreshMode,36,40,4
an7583,DramcRefreshRateDeBounceEnable,20,20,0
an7583,DramcRunTimeConfig,84,106,22
an7583,DramcShuTrackingDcmEnBySRAM,26,52,26
an7583,EnableCommonDCMShuffle,112,130,18
an7583,EnableDramcPhyDCM,44,54,10
an7583,EnableDramcPhyDCMNonShuffle,812,836,24
an7583,EnableDramcPhyDCMShuffle,248,290,42
an7583,EnableRxDcmDPhy,24,28,4
an7583,Enable_ClkTxRxLatchEn,212,226,14
an7583,FreqByMPLLRG,32,28,-4
an7583,Global_Option_Init,18,20,2
an7583,MPLLInit,256,156,-100
an7583,MPLLInit_SSC,136,150,14
an7583,PC3_UpdateInitialSettings,336,380,44
an7583,PC4_UpdateInitialSettings,304,352,48
an7583,RODTSettings,412,434,22
an7583,S0_DCMOffWA,20,22,2
an7583,SA_InitialSettings1,120,120,0
an7583,SA_InitialSettings2,38,40,2
an7583,SetCKE2RankIndependent,6,6,0
an7583,SetMck8xLowPwrOption,20,22,2
an7583,vReplaceDVInit,1820,1854,34
