object,function,an7581_size,an7583_size,byte_identical
DDR3_dram_init,DDR3_MRS,20,20,yes
DDR3_dram_init,DDR3_SWZQ,4,4,yes
DDR3_dram_init,PC3_DRAM_INIT,300,340,no
DDR3_dram_init,PC3_dram_init_single_rank,372,404,no
DDR4_dram_init,DDR4_MRS,20,20,yes
DDR4_dram_init,DDR4_SWZQ,4,4,yes
DDR4_dram_init,PC4_DRAM_INIT,300,340,no
DDR4_dram_init,PC4_dram_init_single_rank,596,596,no
HW_FUNC_MANAGE,DIG_HW_ATTRIBUTE_INIT,40,40,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_CFG,72,72,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_DQSG_SWITCH,120,120,no
HW_FUNC_MANAGE,DIG_HW_NONSHUF_IMPCAL_SWITCH,68,68,no
HW_FUNC_MANAGE,DIG_HW_NONSHUF_SWITCH,88,88,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_ZQCAL_CFG,144,144,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_ZQCAL_SWITCH,64,64,yes
HW_FUNC_MANAGE,DIG_HW_NONSHU_MISC_FIX,188,196,no
HW_FUNC_MANAGE,DIG_HW_SHUF_CFG,84,84,yes
HW_FUNC_MANAGE,DIG_HW_SHUF_IMPCAL_CFG,1004,1000,no
HW_FUNC_MANAGE,DIG_HW_SHUF_IMPCAL_SWITCH,4,4,yes
HW_FUNC_MANAGE,DIG_HW_SHUF_SWITCH,4,4,yes
HW_FUNC_MANAGE,DIG_HW_SHUF_ZQCAL_CFG,104,104,yes
HW_FUNC_MANAGE,DIG_HW_SHUF_ZQCAL_SWITCH,4,4,yes
HW_FUNC_MANAGE,DRAMC_HW_FUNC_IMPCAL_config,160,160,no
HW_FUNC_MANAGE,DRAMC_HW_FUNC_ZQCAL_config,64,64,yes
HW_FUNC_MANAGE,print_HW_IMPCAL_config,4,4,yes
HW_FUNC_MANAGE,print_HW_ZQCAL_config,4,4,yes
Hal_io,DramcVirt2Phys,52,52,yes
Hal_io,NeedSwapARToBR,8,8,yes
Hal_io,__meta_advance,44,44,yes
Hal_io,__meta_backup,204,204,yes
Hal_io,__meta_backup_and_set,60,60,yes
Hal_io,__meta_get,140,140,yes
Hal_io,__meta_loop_complete_for_next,72,72,yes
Hal_io,__meta_process_complete,56,56,yes
Hal_io,__meta_restore,104,104,yes
Hal_io,__meta_set,72,72,yes
Hal_io,channel_msk_backup,32,32,yes
Hal_io,channel_msk_backup_and_set,32,32,yes
Hal_io,channel_msk_op_disable,12,12,yes
Hal_io,channel_msk_op_enable,16,16,yes
Hal_io,channel_msk_restore,32,32,yes
Hal_io,channel_msk_set,12,12,yes
Hal_io,u1PhyByteSwapOnOff,16,16,yes
Hal_io,u4Dram_Register_Read,40,60,no
Hal_io,u4PhyAoByteSwap,8,8,yes
Hal_io,u4RegBaseAddrTranslate,308,308,yes
Hal_io,vDram_Register_Write,44,44,yes
Hal_io,vIO32WriteMsk,68,84,no
Hal_io,vIO32WriteMsk_All,144,128,no
Hal_io,vPhyByteIO32WriteMsk,4,4,yes
Hal_io,vPhyByteIO32WriteMsk_All,4,128,no
Hal_io,vPhyByteReadFldAlign,92,124,no
Hal_io,vPhyByteWriteFldAlign,212,204,no
Hal_io,vPhyByteWriteFldMulti2,4,4,yes
MD32_initial,MD32_initializaton,88,88,yes
MD32_initial,MD32_initializaton_ch,1112,1748,no
RX_path_auto_gen,RX_PATH_auto_gen_and_set,1596,1524,no
RX_path_auto_gen,calculate_RX_path_rg_val,1700,1700,yes
RX_path_auto_gen,get_RX_path_config,876,832,no
RX_path_auto_gen,get_max_val,44,44,yes
RX_path_auto_gen,get_min_val,44,44,yes
RX_path_auto_gen,print_RX_path_config,4,4,yes
RX_path_auto_gen,print_RX_path_rg_val,4,4,yes
TX_RX_auto_gen_library,A_div_B_RU,32,32,yes
TX_RX_auto_gen_library,Get_RL_by_MR_PC3,56,56,yes
TX_RX_auto_gen_library,Get_RL_by_MR_PC4,48,48,yes
TX_RX_auto_gen_library,Get_WL_by_MR_PC3,24,24,yes
TX_RX_auto_gen_library,Get_WL_by_MR_PC4,48,48,yes
TX_RX_auto_gen_library,get_dq_ca_p2s_latency,188,188,yes
TX_RX_auto_gen_library,get_dqsien_p2s_latency,160,160,yes
TX_RX_auto_gen_library,get_max_val_form_2dim,44,44,yes
TX_RX_auto_gen_library,get_min_val_form_2dim,44,44,yes
TX_RX_auto_gen_library,get_oe_p2s_latency,76,76,yes
TX_path_auto_gen,TX_PATH_auto_gen_and_set,188,188,yes
TX_path_auto_gen,TX_PATH_config,2296,2216,no
TX_path_auto_gen,calculate_TX_path_rg_val,2004,2004,yes
TX_path_auto_gen,get_TX_path_config,1128,1104,no
TX_path_auto_gen,print_TX_path_attribution,4,4,yes
TX_path_auto_gen,print_TX_path_config,4,4,yes
dramc,DDR4_BG_Num_Check,312,248,no
dramc,DRAMC_Param_Init,216,152,no
dramc,EMI_CLK_Switch,112,112,yes
dramc,TRFC_CAL,96,80,no
dramc,TRFC_SET,152,152,no
dramc,calculate_dram_size,184,228,no
dramc_dv_dut,DramcDUTShuSet,216,216,yes
dramc_dv_dut,DramcDUTTopSet,828,712,no
dramc_dv_dut,DramcHWFuncSet,40,40,yes
