soc,function,callee,vendor_count,candidate_count,match
an7581,PCDDR_ShiftDQSUI,_LoopAryToDelay,1,1,yes
an7581,PCDDR_ShiftDQS_OENUI,_LoopAryToDelay,1,1,yes
an7581,get_gating_start_pos,u4Dram_Register_Read,2,2,yes
an7581,Dramc_efuse_read_parse,memset,1,1,yes
an7581,Dramc_efuse_read_parse,ef_read_byte,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_backup_and_set,1,1,yes
an7581,DramcImpedanceEfuseValue,DramcImpedanceSetValue,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_advance,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_process_complete,1,1,yes
an7581,DramcImpedanceEfuseValue,__meta_restore,1,1,yes
an7581,DutyScan_Offset_Convert,memcpy,1,0,no-codegen-only
an7581,CmdOEOnOff,vPhyByteIO32WriteMsk,1,1,yes
an7581,CmdOEOnOff,vPhyByteIO32WriteMsk_All,1,1,yes
an7581,SetRxDqDelay,vPhyByteWriteFldAlign,2,2,yes
an7581,Get_RX_DelayCell,(none),0,0,yes
an7581,_LoopAryToDelay,u1MCK2UI_DivShift,1,1,yes-inlined-as-vGet_Div_Mode
an7581,_LoopAryToDelay,u4Dram_Register_Read,2,2,yes
an7581,_LoopAryToDelay,vIO32WriteMsk,2,2,yes
an7581,_LoopAryToDelay,vPhyByteReadFldAlign,2,2,yes
an7581,_LoopAryToDelay,vPhyByteWriteFldAlign,2,2,yes
an7581,DramcImpedanceDrvSetRG,u4Dram_Register_Read,1,1,yes
an7581,DramcImpedanceDrvSetRG,vPhyByteReadFldAlign,1,1,yes
an7581,DramcImpedanceDrvSetRG,vPhyByteWriteFldAlign,1,1,yes
an7581,DramcImpedanceDrvSetRG,vIO32WriteMsk_All,1,1,yes
an7581,DramcImpedanceSetValue,DramcImpedanceDrvSetRG,31,31,yes
an7581,DramcImpedanceByEfuse,is_ddr4_family,1,1,yes
an7581,DramcImpedanceByEfuse,is_ddr3_family,1,1,yes
an7581,DramcImpedanceByEfuse,Dramc_efuse_read_parse,4,2,no-codegen-only
an7581,DramcImpedanceByEfuse,printf,4,4,yes
an7581,DramcImpedanceByEfuse,DramcImpedanceEfuseValue,4,4,yes
an7581,DramcDRVinitSetting,is_ddr3_family,1,1,yes
an7581,DramcDRVinitSetting,vPhyByteIO32WriteMsk,9,9,yes
an7581,DramcDRVinitSetting,pkg_type,1,1,yes
an7581,DramcDRVinitSetting,vIO32WriteMsk_All,34,34,yes-per-branch-runtime-count
an7581,DramcZQCalibration,memset,1,1,yes
an7581,DramcZQCalibration,DramcTriggerRTSWCMD,1,1,yes
an7581,DramcZQCalibration,vSetCalibrationResult,1,1,yes
an7583,DramcZQCalibration,memset,1,1,yes
an7583,DramcZQCalibration,DramcTriggerRTSWCMD,1,1,yes
an7583,DramcZQCalibration,vSetCalibrationResult,1,1,yes
an7581,DramcTXSetVref,is_ddr4_family,1,1,yes
an7581,DramcTXSetVref,DramcModeRegWriteByRank,3,3,yes
an7583,DramcTXSetVref,is_ddr4_family,1,1,yes
an7583,DramcTXSetVref,DramcModeRegWriteByRank,3,3,yes
an7581,dle_factor_handler,u4Dram_Register_Read,1,1,yes
an7581,dle_factor_handler,vPhyByteIO32WriteMsk_All,2,2,yes
an7581,dle_factor_handler,DramPhyReset,1,1,yes
an7581,DramcRxdatlatCal,vPrintCalibrationBasicInfo,1,1,yes
an7581,DramcRxdatlatCal,vAutoRefreshSwitch,2,2,yes
an7581,DramcRxdatlatCal,vPhyByteReadFldAlign,1,1,yes
an7581,DramcRxdatlatCal,vSetCalibrationResult,2,2,yes
an7581,DramcRxdatlatCal,u4Dram_Register_Read,1,1,yes
an7581,DramcRxdatlatCal,DramcEngine2Init,1,1,yes
an7581,DramcRxdatlatCal,dle_factor_handler,2,2,yes
an7581,DramcRxdatlatCal,DramcEngine2Run,1,1,yes
an7581,DramcRxdatlatCal,DramcEngine2End,1,2,no-codegen-only-tail-duplicated
an7581,DramcRxdatlatCal,vPhyByteWriteFldAlign,1,1,yes
an7583,dle_factor_handler,u4Dram_Register_Read,1,1,yes
an7583,dle_factor_handler,vPhyByteIO32WriteMsk_All,2,2,yes
an7583,dle_factor_handler,DramPhyReset,1,1,yes
an7583,DramcRxdatlatCal,vPrintCalibrationBasicInfo,1,1,yes
an7583,DramcRxdatlatCal,vAutoRefreshSwitch,2,2,yes
an7583,DramcRxdatlatCal,vPhyByteReadFldAlign,3,3,yes
an7583,DramcRxdatlatCal,vSetCalibrationResult,2,2,yes
an7583,DramcRxdatlatCal,u4Dram_Register_Read,1,1,yes
an7583,DramcRxdatlatCal,DramcEngine2Init,1,1,yes
an7583,DramcRxdatlatCal,dle_factor_handler,2,2,yes
an7583,DramcRxdatlatCal,DramcEngine2Run,1,1,yes
an7583,DramcRxdatlatCal,DramcEngine2End,1,2,no-codegen-only-tail-duplicated
an7583,DramcRxdatlatCal,vPhyByteWriteFldAlign,1,1,yes
an7583,DramcRxdatlatCal,Rx_datlat_K_result_rg_rk1,1,2,no-codegen-only-reloaded-per-branch
an7581,ShiftDQUI,_LoopAryToDelay,1,1,yes
an7581,ShiftDQ_OENUI,_LoopAryToDelay,1,1,yes
an7581,ShiftDQSWCK_UI,_LoopAryToDelay,2,2,yes-inlined-callees
an7581,O1PathOnOff,vPhyByteWriteFldAlign,4,4,yes
an7581,O1PathOnOff,vIO32WriteMsk_All,5,5,yes
an7581,O1PathOnOff,vPhyByteIO32WriteMsk_All,2,2,yes
an7581,O1PathOnOff,udelay,1,1,yes
an7581,vSetDramMRWriteLevelingOnOff,is_ddr3_family,1,1,yes
an7581,vSetDramMRWriteLevelingOnOff,is_ddr4_family,1,1,yes
an7581,vSetDramMRWriteLevelingOnOff,DramcModeRegWriteByRank,5,3,no-codegen-only-branch-merged
an7583,ShiftDQUI,_LoopAryToDelay,1,1,yes
an7583,ShiftDQ_OENUI,_LoopAryToDelay,1,1,yes
an7583,ShiftDQSWCK_UI,_LoopAryToDelay,2,2,yes-inlined-callees
an7583,O1PathOnOff,vPhyByteWriteFldAlign,4,4,yes
an7583,O1PathOnOff,vIO32WriteMsk_All,5,5,yes
