soc,function,vendor_size,candidate_size,delta
an7581,CmdOEOnOff,42,34,-8
an7581,DramcImpedanceEfuseValue,72,90,18
an7581,Dramc_efuse_read_parse,78,94,16
an7581,DutyScan_Offset_Convert,44,24,-20
an7581,Get_RX_DelayCell,2,2,0
an7581,PCDDR_ShiftDQSUI,68,92,24
an7581,PCDDR_ShiftDQS_OENUI,72,92,20
an7581,SetRxDqDelay,84,86,2
an7581,get_gating_start_pos,48,54,6
an7581,_LoopAryToDelay,388,410,22
an7581,u1MCK2UI_DivShift,18,16,-2
an7581,DramcImpedanceDrvSetRG,348,362,14
an7581,DramcImpedanceSetValue,672,794,122
an7581,DramcImpedanceByEfuse,208,200,-8
an7581,DramcDRVinitSetting,1076,820,-256
an7581,DramcZQCalibration,48,58,10
an7581,DramcTXSetVref,128,132,4
an7581,dle_factor_handler,144,134,-10
an7581,DramcRxdatlatCal,236,248,12
an7581,ShiftDQUI,88,34,-54
an7581,ShiftDQUI_AllRK,4,34,30
an7581,ShiftDQ_OENUI,92,34,-58
an7581,ShiftDQ_OENUI_AllRK,4,34,30
an7581,ShiftDQSWCK_UI,26,78,52
an7581,O1PathOnOff,304,368,64
an7581,vSetDramMRWriteLevelingOnOff,264,168,-96
an7581,DramcWriteLeveling,1612,1702,90
an7583,CmdOEOnOff,42,34,-8
an7583,DramcImpedanceEfuseValue,72,90,18
an7583,Dramc_efuse_read_parse,78,94,16
an7583,DutyScan_Offset_Convert,44,24,-20
an7583,Get_RX_DelayCell,2,2,0
an7583,PCDDR_ShiftDQSUI,68,92,24
an7583,PCDDR_ShiftDQS_OENUI,72,92,20
an7583,SetRxDqDelay,84,86,2
an7583,get_gating_start_pos,48,54,6
an7583,_LoopAryToDelay,436,448,12
an7583,u1MCK2UI_DivShift,18,16,-2
an7583,DramcImpedanceDrvSetRG,368,442,74
an7583,DramcImpedanceSetValue,684,794,110
an7583,DramcImpedanceByEfuse,224,216,-8
an7583,DramcZQCalibration,48,58,10
an7583,DramcTXSetVref,128,132,4
an7583,dle_factor_handler,144,134,-10
an7583,DramcRxdatlatCal,292,332,40
an7583,ShiftDQUI,88,34,-54
an7583,ShiftDQUI_AllRK,4,34,30
an7583,ShiftDQ_OENUI,92,34,-58
an7583,ShiftDQ_OENUI_AllRK,4,34,30
an7583,ShiftDQSWCK_UI,26,78,52
an7583,O1PathOnOff,304,368,64
an7583,vSetDramMRWriteLevelingOnOff,264,168,-96
an7583,DramcWriteLeveling,1208,1260,52
an7581,dramc_rx_dqs_gating_cal,1948,1588,-360
an7583,dramc_rx_dqs_gating_cal,1568,1270,-298
an7581,u1IsPhaseMode,26,34,8
an7581,TxWinTransferDelayToUIPI,148,192,44
an7581,TXSetDelayReg_DQ,284,330,46
an7581,TXSetDelayReg_DQM,300,334,34
an7581,DramcTxWindowPerbitCal,2504,2604,100
an7583,DramcTxWindowPerbitCal,2732,2902,170
an7581,DramcRxWindowPerbitCal,2540,2564,24
an7583,DramcRxWindowPerbitCal,2472,2526,54
