soc,object,function,oracle_gcc10_size,clang_Oz_size,delta
an7581,TX_RX_auto_gen_library,get_max_val_form_2dim,30,30,0
an7581,TX_RX_auto_gen_library,get_min_val_form_2dim,30,30,0
an7581,TX_RX_auto_gen_library,get_dq_ca_p2s_latency,112,116,4
an7581,TX_RX_auto_gen_library,get_dqsien_p2s_latency,100,104,4
an7581,TX_RX_auto_gen_library,get_oe_p2s_latency,46,54,8
an7581,TX_RX_auto_gen_library,A_div_B_RU,20,16,-4
an7581,TX_RX_auto_gen_library,Get_RL_by_MR_PC4,20,20,0
an7581,TX_RX_auto_gen_library,Get_WL_by_MR_PC4,20,20,0
an7581,TX_RX_auto_gen_library,Get_RL_by_MR_PC3,24,24,0
an7581,TX_RX_auto_gen_library,Get_WL_by_MR_PC3,16,12,-4
an7581,DDR3_dram_init,DDR3_MRS,16,22,6
an7581,DDR3_dram_init,DDR3_SWZQ,4,4,0
an7581,DDR3_dram_init,PC3_dram_init_single_rank,244,248,4
an7581,DDR3_dram_init,PC3_DRAM_INIT,176,220,44
an7581,DDR4_dram_init,DDR4_MRS,16,22,6
an7581,DDR4_dram_init,DDR4_SWZQ,4,4,0
an7581,DDR4_dram_init,PC4_dram_init_single_rank,440,428,-12
an7581,DDR4_dram_init,PC4_DRAM_INIT,176,220,44
an7583,TX_RX_auto_gen_library,get_max_val_form_2dim,30,30,0
an7583,TX_RX_auto_gen_library,get_min_val_form_2dim,30,30,0
an7583,TX_RX_auto_gen_library,get_dq_ca_p2s_latency,112,116,4
an7583,TX_RX_auto_gen_library,get_dqsien_p2s_latency,100,104,4
an7583,TX_RX_auto_gen_library,get_oe_p2s_latency,46,54,8
an7583,TX_RX_auto_gen_library,A_div_B_RU,20,16,-4
an7583,TX_RX_auto_gen_library,Get_RL_by_MR_PC4,20,20,0
an7583,TX_RX_auto_gen_library,Get_WL_by_MR_PC4,20,20,0
an7583,TX_RX_auto_gen_library,Get_RL_by_MR_PC3,24,24,0
an7583,TX_RX_auto_gen_library,Get_WL_by_MR_PC3,16,12,-4
an7583,DDR3_dram_init,DDR3_MRS,16,22,6
an7583,DDR3_dram_init,DDR3_SWZQ,4,4,0
an7583,DDR3_dram_init,PC3_dram_init_single_rank,272,280,8
an7583,DDR3_dram_init,PC3_DRAM_INIT,200,256,56
an7583,DDR4_dram_init,DDR4_MRS,16,22,6
an7583,DDR4_dram_init,DDR4_SWZQ,4,4,0
an7583,DDR4_dram_init,PC4_dram_init_single_rank,432,416,-16
an7583,DDR4_dram_init,PC4_DRAM_INIT,200,256,56
