soc,object,function,object_size,coreboot_locations,coreboot_hit_count
an7581,ANA_init_config.o,ANA_ARPI_shuffle_config,428,mt8192:ANA_init_config.c:445;mt8195:ANA_init_config.c:580,2
an7581,ANA_init_config.o,ANA_CLK_DIV_config_setting,1952,mt8192:ANA_init_config.c:79;mt8195:ANA_init_config.c:80,2
an7581,ANA_init_config.o,ANA_CLOCK_SWITCH,360,mt8192:ANA_init_config.c:875;mt8195:ANA_init_config.c:1135,2
an7581,ANA_init_config.o,ANA_ClockOff_Sequence,440,mt8192:ANA_init_config.c:1155;mt8195:ANA_init_config.c:1497,2
an7581,ANA_init_config.o,ANA_Config_nonshuffle,70,mt8192:ANA_init_config.c:908;mt8195:ANA_init_config.c:1163,2
an7581,ANA_init_config.o,ANA_Config_shuffle,72,mt8192:ANA_init_config.c:922;mt8195:ANA_init_config.c:1177,2
an7581,ANA_init_config.o,ANA_DLL_WITH_MD32,160,,0
an7581,ANA_init_config.o,ANA_DLL_non_shuffle_config,384,mt8192:ANA_init_config.c:214;mt8195:ANA_init_config.c:227,2
an7581,ANA_init_config.o,ANA_DLL_sequence,552,mt8192:ANA_init_config.c:1060;mt8195:ANA_init_config.c:1362,2
an7581,ANA_init_config.o,ANA_DLL_shuffle_Config,836,mt8192:ANA_init_config.c:316;mt8195:ANA_init_config.c:331,2
an7581,ANA_init_config.o,ANA_IMP_configure,48,mt8192:ANA_init_config.c:863;mt8195:ANA_init_config.c:1123,2
an7581,ANA_init_config.o,ANA_MIDPI_WITH_MD32,184,,0
an7581,ANA_init_config.o,ANA_MIDPI_sequence,1252,mt8192:ANA_init_config.c:954;mt8195:ANA_init_config.c:1204,2
an7581,ANA_init_config.o,ANA_OPEN_LOOP_MODE_config,192,,0
an7581,ANA_init_config.o,ANA_PHY_Config,24,mt8192:ANA_init_config.c:934;mt8195:ANA_init_config.c:1188,2
an7581,ANA_init_config.o,ANA_PLL_sequence,248,mt8192:ANA_init_config.c:945;mt8195:ANA_init_config.c:1195,2
an7581,ANA_init_config.o,ANA_PLL_shuffle_Config,472,mt8192:ANA_init_config.c:8;mt8195:ANA_init_config.c:9,2
an7581,ANA_init_config.o,ANA_RX_nonshuffle_config,492,mt8192:ANA_init_config.c:631;mt8195:ANA_init_config.c:869,2
an7581,ANA_init_config.o,ANA_RX_shuffle_config,596,mt8192:ANA_init_config.c:582;mt8195:ANA_init_config.c:800,2
an7581,ANA_init_config.o,ANA_TX_nonshuffle_config,2528,mt8192:ANA_init_config.c:493;mt8195:ANA_init_config.c:635,2
an7581,ANA_init_config.o,ANA_TX_shuffle_config,424,mt8192:ANA_init_config.c:535;mt8195:ANA_init_config.c:717,2
an7581,ANA_init_config.o,ANA_init,52,mt8192:ANA_init_config.c:1220;mt8195:ANA_init_config.c:1615,2
an7581,ANA_init_config.o,ANA_init_sequence,42,mt8192:ANA_init_config.c:1210;mt8195:ANA_init_config.c:1605,2
