object,best_coreboot_soc,candidate_source,common_coreboot_funcs,an7581_obj_funcs,coreboot_func_coverage_pct,common_an75xx_func_sections,byte_identical_an75xx_sections,an75xx_identical_pct,classification
ANA_init_config.o,mt8192,ANA_init_config.c,26,29,89.7,29,8,27.6,strong public lineage
DDR3_dram_init.o,mt8192,dramc_pi_calibration_api.c,0,4,0.0,4,2,50.0,Airoha/PCDDR-specific or absent from coreboot set
DDR4_dram_init.o,mt8192,dramc_pi_calibration_api.c,0,4,0.0,4,2,50.0,Airoha/PCDDR-specific or absent from coreboot set
DIG_NONSHUF_config.o,mt8192,DIG_NONSHUF_config.c,8,10,80.0,10,2,20.0,strong public lineage
DIG_SHUF_config.o,mt8192,DIG_SHUF_config.c,7,10,70.0,10,6,60.0,strong public lineage
DRAMC_SUBSYS_config.o,mt8192,DRAMC_SUBSYS_config.c,3,12,25.0,12,7,58.3,partial/public framework only
HW_FUNC_MANAGE.o,mt8192,dramc_pi_calibration_api.c,0,18,0.0,18,13,72.2,Airoha/PCDDR-specific or absent from coreboot set
Hal_io.o,mt8192,Hal_io.c,1,28,3.6,28,21,75.0,Airoha/PCDDR-specific or absent from coreboot set
IPM_actiming_setting_DDR3.o,mt8192,dramc_pi_calibration_api.c,0,0,0,0,0,0.0,Airoha/PCDDR-specific or absent from coreboot set
IPM_actiming_setting_DDR4.o,mt8192,dramc_pi_calibration_api.c,0,0,0,0,0,0.0,Airoha/PCDDR-specific or absent from coreboot set
MD32_initial.o,mt8192,dramc_pi_calibration_api.c,0,2,0.0,2,1,50.0,Airoha/PCDDR-specific or absent from coreboot set
RX_path_auto_gen.o,mt8192,dramc_pi_calibration_api.c,0,7,0.0,7,5,71.4,Airoha/PCDDR-specific or absent from coreboot set
TX_RX_auto_gen_library.o,mt8192,dramc_pi_calibration_api.c,0,10,0.0,10,10,100.0,Airoha/PCDDR-specific or absent from coreboot set
TX_path_auto_gen.o,mt8192,dramc_pi_calibration_api.c,0,6,0.0,6,4,66.7,Airoha/PCDDR-specific or absent from coreboot set
dramc.o,mt8192,dramc_pi_calibration_api.c,0,8,0.0,7,2,28.6,Airoha/PCDDR-specific or absent from coreboot set
dramc_actiming.o,mt8192,dramc_actiming.c,1,1,100.0,1,0,0.0,strong public lineage
dramc_dv_dut.o,mt8192,dramc_pi_calibration_api.c,0,3,0.0,3,2,66.7,Airoha/PCDDR-specific or absent from coreboot set
dramc_dvfs.o,mt8192,dramc_dvfs.c,3,3,100.0,3,3,100.0,strong API lineage; mixed implementation (DVFSSettings diverges)
dramc_pi_basic_api.o,mt8192,dramc_pi_basic_api.c,17,32,53.1,32,17,53.1,moderate public lineage
dramc_pi_calibration_api.o,mt8195,dramc_pi_calibration_api.c,40,55,72.7,54,26,48.1,strong public lineage
dramc_pi_main.o,mt8195,dramc_pi_main.c,7,8,87.5,8,3,37.5,strong public lineage
dramc_selfrefresh_api.o,mt8192,dramc_pi_calibration_api.c,0,22,0.0,,,,Airoha/PCDDR-specific or absent from coreboot set
dramc_utility.o,mt8195,dramc_utility.c,45,62,72.6,62,43,69.4,strong public lineage
dramtest.o,mt8195,dramc_debug.c,0,15,0.0,,,,Airoha/PCDDR-specific or absent from coreboot set
