function,raw_sequence_match,classification,vendor_calls,clang_calls
dram_pat_set,yes,EXACT_RAW_SEQUENCE,printf printf printf printf printf,printf printf printf printf printf
dram_pat_cmp,no,SAME_DEPENDENCIES_OPTIMIZER_MERGE,memset printf printf printf printf printf printf printf printf printf printf printf printf printf,memset printf printf printf printf printf printf printf
dram_incrPat_cmp,no,SAME_DEPENDENCIES_OPTIMIZER_MERGE,memset printf printf printf printf printf printf printf printf printf printf printf printf,memset printf printf printf printf printf printf
dram_antiIncrPat_cmp,no,SAME_DEPENDENCIES_OPTIMIZER_MERGE,printf printf printf printf printf printf printf printf printf printf printf printf,printf printf printf printf printf printf
set_gdma_config,yes,EXACT_RAW_SEQUENCE,,
trigger_gdma,no,INTERNAL_HELPER_INLINED_BY_CLANG,set_gdma_config,
wait_gdma_done,yes,EXACT_RAW_SEQUENCE,,
dramTest,no,SAME_DEPENDENCIES_DIFFERENT_LAYOUT,printf printf printf dram_pat_set dram_antiIncrPat_cmp dram_pat_set dram_pat_cmp printf dram_pat_set dram_incrPat_cmp printf,printf printf dram_pat_set dram_incrPat_cmp printf dram_pat_set dram_antiIncrPat_cmp dram_pat_set dram_pat_cmp printf printf
Check_DRAMC_BIST_Done,yes,EXACT_RAW_SEQUENCE,udelay printf,udelay printf
DRAMC_BIST,yes,EXACT_RAW_SEQUENCE,printf Check_DRAMC_BIST_Done printf printf,printf Check_DRAMC_BIST_Done printf printf
DDR_Scrambler_Region_Type,yes,EXACT_RAW_SEQUENCE,,
DDR_Scrambler_Region_EN,yes,EXACT_RAW_SEQUENCE,,
DDR_Scrmabler_test,no,INTERNAL_REGION_HELPERS_INLINED_BY_CLANG,printf DDR_Scrambler_Key_Set printf DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf,printf DDR_Scrambler_Key_Set printf DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set printf printf printf dram_pat_set dram_incrPat_cmp dram_incrPat_cmp printf printf printf printf printf dram_pat_set dram_incrPat_cmp dram_incrPat_cmp printf printf printf printf dram_pat_set dram_incrPat_cmp dram_incrPat_cmp printf printf
DRAMC_BIST_set,no,SAME_DEPENDENCIES_OPTIMIZER_MERGE,printf printf Check_DRAMC_BIST_Done printf printf printf,printf printf Check_DRAMC_BIST_Done printf
DRAMC_BIST_test,yes,EXACT_RAW_SEQUENCE,printf READ_RG_FLD READ_RG_FLD printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf,printf READ_RG_FLD READ_RG_FLD printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf
