function,vendor_size,candidate_size,delta,same_call_sequence,vendor_calls,candidate_calls
dram_pat_set,288,310,22,no,printf printf printf printf printf,printf printf printf printf dram_addr32 printf dram_addr16 dram_addr8
dram_pat_cmp,568,558,-10,no,memset printf printf printf printf printf printf printf printf printf printf printf printf printf,memset printf printf printf dram_addr16 dram_addr32 dram_addr8 printf printf printf printf printf printf printf printf printf printf
dram_incrPat_cmp,744,750,6,no,memset printf printf printf printf printf printf printf printf printf printf printf printf,memset printf dram_addr32 printf dram_addr16 dram_addr8 printf printf printf printf printf printf printf printf printf printf
dram_antiIncrPat_cmp,384,376,-8,no,printf printf printf printf printf printf printf printf printf printf printf printf,printf dram_addr32 printf dram_addr16 dram_addr8 printf printf printf printf printf printf printf printf printf printf
set_gdma_config,52,88,36,no,,mmio32 mmio32 mmio32 mmio32
trigger_gdma,32,38,6,yes,set_gdma_config,set_gdma_config
wait_gdma_done,28,32,4,no,,mmio32
dramTest,268,316,48,no,printf printf printf dram_pat_set dram_antiIncrPat_cmp dram_pat_set dram_pat_cmp printf dram_pat_set dram_incrPat_cmp printf,printf printf dram_pat_set dram_incrPat_cmp printf dram_pat_set dram_antiIncrPat_cmp dram_pat_set dram_pat_cmp printf printf
Check_DRAMC_BIST_Done,48,70,22,no,udelay printf,mmio32 udelay printf
DRAMC_BIST,84,102,18,no,printf Check_DRAMC_BIST_Done printf printf,mmio32 printf Check_DRAMC_BIST_Done printf printf
DDR_Scrambler_Region_Type,52,56,4,no,,mmio32
DDR_Scrambler_Region_EN,52,58,6,no,,mmio32
DDR_Scrmabler_test,496,540,44,yes,printf DDR_Scrambler_Key_Set printf DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf,printf DDR_Scrambler_Key_Set printf DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set DDR_Scrambler_Region_Set printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf printf DDR_Scrambler_Region_Type DDR_Scrambler_Region_EN dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf printf printf dram_pat_set dram_incrPat_cmp DDR_Scrambler_Region_EN dram_incrPat_cmp printf printf
DRAMC_BIST_set,180,194,14,no,printf printf Check_DRAMC_BIST_Done printf printf printf,mmio32 printf printf Check_DRAMC_BIST_Done printf
DRAMC_BIST_test,344,352,8,yes,printf READ_RG_FLD READ_RG_FLD printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf,printf READ_RG_FLD READ_RG_FLD printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf DRAMC_BIST_set printf WRITE_RG_FLD WRITE_RG_FLD DRAMC_BIST_set WRITE_RG_FLD WRITE_RG_FLD printf printf
