soc,object,function,oracle_size,clang_Oz_size,delta
an7581,Hal_io,DramcVirt2Phys,26,28,2
an7581,Hal_io,NeedSwapARToBR,4,4,0
an7581,Hal_io,__meta_advance,36,28,-8
an7581,Hal_io,__meta_backup,124,104,-20
an7581,Hal_io,__meta_backup_and_set,26,36,10
an7581,Hal_io,__meta_get,84,76,-8
an7581,Hal_io,__meta_loop_complete_for_next,26,40,14
an7581,Hal_io,__meta_process_complete,40,36,-4
an7581,Hal_io,__meta_restore,56,64,8
an7581,Hal_io,__meta_set,56,60,4
an7581,Hal_io,channel_msk_backup,24,24,0
an7581,Hal_io,channel_msk_backup_and_set,16,28,12
an7581,Hal_io,channel_msk_op_disable,16,16,0
an7581,Hal_io,channel_msk_op_enable,16,16,0
an7581,Hal_io,channel_msk_restore,24,24,0
an7581,Hal_io,channel_msk_set,12,12,0
an7581,Hal_io,u1PhyByteSwapOnOff,16,16,0
an7581,Hal_io,u4Dram_Register_Read,18,20,2
an7581,Hal_io,u4PhyAoByteSwap,4,4,0
an7581,Hal_io,u4RegBaseAddrTranslate,192,216,24
an7581,Hal_io,vDram_Register_Write,20,22,2
an7581,Hal_io,vIO32WriteMsk,34,38,4
an7581,Hal_io,vIO32WriteMsk_All,80,86,6
an7581,Hal_io,vPhyByteIO32WriteMsk,34,4,-30
an7581,Hal_io,vPhyByteIO32WriteMsk_All,4,4,0
an7581,Hal_io,vPhyByteReadFldAlign,52,52,0
an7581,Hal_io,vPhyByteWriteFldAlign,132,134,2
an7581,Hal_io,vPhyByteWriteFldMulti2,6,2,-4
an7583,Hal_io,DramcVirt2Phys,26,28,2
an7583,Hal_io,NeedSwapARToBR,4,4,0
an7583,Hal_io,__meta_advance,36,28,-8
an7583,Hal_io,__meta_backup,124,104,-20
an7583,Hal_io,__meta_backup_and_set,26,36,10
an7583,Hal_io,__meta_get,84,76,-8
an7583,Hal_io,__meta_loop_complete_for_next,26,40,14
an7583,Hal_io,__meta_process_complete,40,36,-4
an7583,Hal_io,__meta_restore,56,64,8
an7583,Hal_io,__meta_set,56,60,4
an7583,Hal_io,channel_msk_backup,24,24,0
an7583,Hal_io,channel_msk_backup_and_set,16,28,12
an7583,Hal_io,channel_msk_op_disable,16,16,0
an7583,Hal_io,channel_msk_op_enable,16,16,0
an7583,Hal_io,channel_msk_restore,24,24,0
an7583,Hal_io,channel_msk_set,12,12,0
an7583,Hal_io,u1PhyByteSwapOnOff,16,16,0
an7583,Hal_io,u4Dram_Register_Read,30,34,4
an7583,Hal_io,u4PhyAoByteSwap,4,4,0
an7583,Hal_io,u4RegBaseAddrTranslate,192,216,24
an7583,Hal_io,vDram_Register_Write,20,22,2
an7583,Hal_io,vIO32WriteMsk,42,48,6
an7583,Hal_io,vIO32WriteMsk_All,72,78,6
an7583,Hal_io,vPhyByteIO32WriteMsk,42,4,-38
an7583,Hal_io,vPhyByteIO32WriteMsk_All,72,4,-68
an7583,Hal_io,vPhyByteReadFldAlign,74,72,-2
an7583,Hal_io,vPhyByteWriteFldAlign,136,132,-4
an7583,Hal_io,vPhyByteWriteFldMulti2,6,2,-4
