object,function,an7581_size,an7581_sha16,an7583_size,an7583_sha16,same
dramc,DDR4_BG_Num_Check,144,8c45b7248cdc4473,132,54f930baf1bf0c44,no
dramc,DDR_Scrambler_Key_Set,,,84,c8c959833e140cae,no
dramc,DDR_Scrambler_Region_Set,,,240,c40080a4b94f7197,no
dramc,DRAMC_Param_Init,132,6497329cf1b5f295,96,0f47a71638ae0584,no
dramc,EMI_CLK_Switch,40,6327acbf29d2bb83,40,6327acbf29d2bb83,yes
dramc,RBUS_Setting,,,164,9ef64878ea8e27b7,no
dramc,TRFC_CAL,120,289139d3a5bc0174,84,53cbc0cecc7b9069,no
dramc,TRFC_SET,120,8ff8d204d194b8cf,120,8ff8d204d194b8cf,yes
dramc,WRITE_RG_FLD,30,2d34c3753749ee3e,,,no
dramc,_Register_Read_DDR,,,84,b344889bb07f89c4,no
dramc,_Register_Write_DDR,,,76,c6f548cd71de2a3d,no
dramc,calculate_dram_size,88,8ced929a2bf5c500,112,226907b21bac2afd,no
dramc,dramc_main,412,2cf48ca5015a11b2,348,097fb6c6a12ff1b0,no
dramc,get_2s_power,,,14,8325a082700f8d1b,no
dramc,get_config,,,144,fb1d7d09182b7506,no
DDR3_dram_init,DDR3_MRS,16,0eab2d25d61e3932,16,0eab2d25d61e3932,yes
DDR3_dram_init,DDR3_SWZQ,4,90a54a1f68a806a1,4,90a54a1f68a806a1,yes
DDR3_dram_init,PC3_DRAM_INIT,176,91966b8978499137,200,c9697e0499db6972,no
DDR3_dram_init,PC3_dram_init_single_rank,244,04f7f545597ff26e,272,f7bf0c0518fcf873,no
DDR4_dram_init,DDR4_MRS,16,0eab2d25d61e3932,16,0eab2d25d61e3932,yes
DDR4_dram_init,DDR4_SWZQ,4,90a54a1f68a806a1,4,90a54a1f68a806a1,yes
DDR4_dram_init,PC4_DRAM_INIT,176,c08fe1ccd4446169,200,4c945f2906ea6d85,no
DDR4_dram_init,PC4_dram_init_single_rank,440,3217ef1d471e47b3,432,87c49b51b726bbf5,no
Hal_io,DramcVirt2Phys,26,60d0d5da133e5f08,26,60d0d5da133e5f08,yes
Hal_io,NeedSwapARToBR,4,a7ddd513d149ea16,4,a7ddd513d149ea16,yes
Hal_io,__meta_advance,36,7b6a37d2c1ad4e01,36,7b6a37d2c1ad4e01,yes
Hal_io,__meta_backup,124,ebbc69eba0d64568,124,ebbc69eba0d64568,yes
Hal_io,__meta_backup_and_set,26,866cd1a335cdcaa5,26,866cd1a335cdcaa5,yes
Hal_io,__meta_get,84,2cf468a82c97d64f,84,2cf468a82c97d64f,yes
Hal_io,__meta_loop_complete_for_next,26,157bc2a9dee5962f,26,157bc2a9dee5962f,yes
Hal_io,__meta_process_complete,40,5e9dc77ae71f388e,40,5e9dc77ae71f388e,yes
Hal_io,__meta_restore,56,9154e2b9b27821ba,56,9154e2b9b27821ba,yes
Hal_io,__meta_set,56,a9805127db8f9417,56,a9805127db8f9417,yes
Hal_io,channel_msk_backup,24,3a41c2a600f103ce,24,3a41c2a600f103ce,yes
Hal_io,channel_msk_backup_and_set,16,a47f118ee40b5578,16,a47f118ee40b5578,yes
Hal_io,channel_msk_op_disable,16,8510200c268c57e3,16,8510200c268c57e3,yes
Hal_io,channel_msk_op_enable,16,f27dfeeff582e2e4,16,f27dfeeff582e2e4,yes
Hal_io,channel_msk_restore,24,ed1d66cd6577f102,24,ed1d66cd6577f102,yes
Hal_io,channel_msk_set,12,0be8dc588589ef76,12,0be8dc588589ef76,yes
Hal_io,u1PhyByteSwapOnOff,16,0b5db89e34397aac,16,0b5db89e34397aac,yes
Hal_io,u4Dram_Register_Read,18,bf5dbc27d048275b,30,9a30232f5f9b4202,no
Hal_io,u4PhyAoByteSwap,4,a7ddd513d149ea16,4,a7ddd513d149ea16,yes
Hal_io,u4RegBaseAddrTranslate,192,10ff7eeb97ae451f,192,10ff7eeb97ae451f,yes
Hal_io,vDram_Register_Write,20,2b3c2098af580873,20,2b3c2098af580873,yes
Hal_io,vIO32WriteMsk,34,bccf2b6ae795ad98,42,d9c3151e5527986b,no
Hal_io,vIO32WriteMsk_All,80,f3f61f4f42f993b3,72,c505aaa88916d78c,no
Hal_io,vPhyByteIO32WriteMsk,34,bccf2b6ae795ad98,42,d9c3151e5527986b,no
Hal_io,vPhyByteIO32WriteMsk_All,4,90a54a1f68a806a1,72,c505aaa88916d78c,no
Hal_io,vPhyByteReadFldAlign,52,976b4920c9dd3642,74,0a2dea8ab1122ac5,no
Hal_io,vPhyByteWriteFldAlign,132,8fb3473a851cd960,136,fb14164edbd5ae7a,no
Hal_io,vPhyByteWriteFldMulti2,6,e9ceb60d265128ce,6,e9ceb60d265128ce,yes
HW_FUNC_MANAGE,DIG_HW_ATTRIBUTE_INIT,28,facf0da7d4a0bd68,28,facf0da7d4a0bd68,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_CFG,42,219207d8b9b4424a,42,219207d8b9b4424a,yes
HW_FUNC_MANAGE,DIG_HW_NONSHUF_DQSG_SWITCH,80,eb36f4aaa831d4f6,80,1bd80b6da5966e7d,no
