function,an7581_size,an7583_size,cross_soc
CKEFixOnOff,84,84,IDENTICAL
CKE_FIX_OFF,28,28,IDENTICAL
CKE_FIX_ON,28,28,IDENTICAL
DDRPhyFMeter,12,12,IDENTICAL
DDRPhyFreqSel,60,40,DIFF
DDRPhyGetRealFreq,40,44,DIFF
DramcBackupMixedRG,90,72,DIFF
DramcBackupMixedRG_Single,112,124,DIFF
DramcBackupRegisters,90,72,DIFF
DramcBackupRegisters_Single,72,72,IDENTICAL
DramcBroadcastOnOff,32,32,IDENTICAL
DramcEngine2CheckComplete,152,160,DIFF
DramcEngine2Compare,144,144,IDENTICAL
DramcEngine2End,52,88,DIFF
DramcEngine2Init,192,192,DIFF
DramcEngine2Run,116,116,IDENTICAL
DramcEngine2SetPat,348,348,IDENTICAL
DramcModeRegRead,100,100,IDENTICAL
DramcModeRegReadByRank,88,88,IDENTICAL
DramcModeRegWriteByRank,40,48,DIFF
DramcModeRegWriteByRank_RTSWCMD_MRW,50,50,IDENTICAL
DramcRestoreMixedRG,100,80,DIFF
DramcRestoreMixedRG_Single,124,132,DIFF
DramcRestoreRegisters,100,80,DIFF
DramcRestoreRegisters_Single,76,76,IDENTICAL
DramcSetRWOFOEN,56,76,DIFF
DramcSetRankEngine2,54,54,IDENTICAL
DramcTriggerRTSWCMD,372,396,DIFF
GetDataRateByFreq,178,178,DIFF
GetDramcBroadcast,16,16,IDENTICAL
GetEyeScanEnable,4,4,IDENTICAL
GetFreqBySel,20,20,IDENTICAL
GetSelByFreq,206,206,IDENTICAL
Get_Duty_Calibration_Mode,8,8,IDENTICAL
Get_Vref_Calibration_OnOff,8,8,IDENTICAL
SetClkFreeRun,90,90,IDENTICAL
TA2_Show_Cnt,80,80,IDENTICAL
TA2_Test_Run_Time_HW,46,272,DIFF
TA2_Test_Run_Time_HW_Presetting,192,216,DIFF
TA2_Test_Run_Time_HW_Read,44,44,IDENTICAL
TA2_Test_Run_Time_HW_Status,180,176,DIFF
TA2_Test_Run_Time_HW_Write,44,44,IDENTICAL
TA2_Test_Run_Time_Pat_Setting,152,152,IDENTICAL
TA2_Test_Run_Time_SW_Presetting,128,132,DIFF
TestEngineCompare,120,120,IDENTICAL
is_ddr3_family,10,10,IDENTICAL
is_ddr4_family,10,10,IDENTICAL
setFreqGroup,120,120,IDENTICAL
u1GetRank,4,4,IDENTICAL
u1NeedSkipDPMRG,42,42,IDENTICAL
u2DFSGetHighestFreq,80,80,IDENTICAL
vAutoRefreshSwitch,68,68,IDENTICAL
vCKERankCtrl,112,112,IDENTICAL
vGetPHY2ChannelMapping,4,4,IDENTICAL
vGet_Current_ShuLevel,8,8,IDENTICAL
vGet_DDR_Loop_Mode,8,8,IDENTICAL
vGet_Div_Mode,8,8,IDENTICAL
vGet_Dram_CBT_Mode,28,28,IDENTICAL
vPrintCalibrationBasicInfo,2,2,IDENTICAL
vSetPHY2ChannelMapping,4,4,IDENTICAL
vSetRank,4,4,IDENTICAL
vSetRankNumber,6,6,IDENTICAL
