soc,function,vendor_size,clang_size,size_delta,vendor_calls,clang_calls,calls_match
an7581,CKE_FIX_ON,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7581,CKE_FIX_OFF,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7581,SetClkFreeRun,90,106,16,vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,True
an7581,is_ddr3_family,10,12,2,,,True
an7581,is_ddr4_family,10,12,2,,,True
an7581,GetDramcBroadcast,16,14,-2,,,True
an7581,DramcBroadcastOnOff,32,28,-4,,,True
an7581,vSetPHY2ChannelMapping,4,4,0,,,True
an7581,vGetPHY2ChannelMapping,4,4,0,,,True
an7581,vSetRank,4,4,0,,,True
an7581,u1GetRank,4,4,0,,,True
an7581,vSetRankNumber,6,6,0,,,True
an7581,setFreqGroup,120,138,18,,,True
an7581,DDRPhyFMeter,12,12,0,,gddrphyfmeter_value;gddrphyfmeter_value,False
an7581,vGet_DDR_Loop_Mode,8,8,0,,,True
an7581,vGet_Div_Mode,8,8,0,,,True
an7581,vGet_Current_ShuLevel,8,8,0,,,True
an7581,Get_Duty_Calibration_Mode,8,8,0,,,True
an7581,Get_Vref_Calibration_OnOff,8,8,0,,,True
an7581,vGet_Dram_CBT_Mode,28,26,-2,,,True
an7581,vPrintCalibrationBasicInfo,2,2,0,,,True
an7581,GetFreqBySel,20,22,2,,.Lswitch.table.GetFreqBySel;.Lswitch.table.GetFreqBySel,False
an7581,GetDataRateByFreq,178,220,42,,,True
an7581,GetSelByFreq,206,210,4,,,True
an7581,DDRPhyFreqSel,60,56,-4,setFreqGroup,GetFreqBySel;setFreqGroup,False
an7581,u2DFSGetHighestFreq,80,84,4,,u2FreqMax;gUpdateHighestFreq;u2FreqMax;gUpdateHighestFreq;gFreqTbl;gFreqTbl;GetFreqBySel,False
an7581,GetEyeScanEnable,4,4,0,,,True
an7581,DDRPhyGetRealFreq,40,42,2,,gddrphyfmeter_value;gddrphyfmeter_value,False
an7583,CKE_FIX_ON,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7583,CKE_FIX_OFF,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7583,SetClkFreeRun,90,106,16,vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,True
an7583,is_ddr3_family,10,12,2,,,True
an7583,is_ddr4_family,10,12,2,,,True
an7583,GetDramcBroadcast,16,14,-2,,,True
an7583,DramcBroadcastOnOff,32,28,-4,,,True
an7583,vSetPHY2ChannelMapping,4,4,0,,,True
an7583,vGetPHY2ChannelMapping,4,4,0,,,True
an7583,vSetRank,4,4,0,,,True
an7583,u1GetRank,4,4,0,,,True
an7583,vSetRankNumber,6,6,0,,,True
an7583,setFreqGroup,120,138,18,,,True
an7583,DDRPhyFMeter,12,12,0,,gddrphyfmeter_value;gddrphyfmeter_value,False
an7583,vGet_DDR_Loop_Mode,8,8,0,,,True
an7583,vGet_Div_Mode,8,8,0,,,True
an7583,vGet_Current_ShuLevel,8,8,0,,,True
an7583,Get_Duty_Calibration_Mode,8,8,0,,,True
an7583,Get_Vref_Calibration_OnOff,8,8,0,,,True
an7583,vGet_Dram_CBT_Mode,28,26,-2,,,True
an7583,vPrintCalibrationBasicInfo,2,2,0,,,True
an7583,GetFreqBySel,20,22,2,,.Lswitch.table.GetFreqBySel;.Lswitch.table.GetFreqBySel,False
an7583,GetDataRateByFreq,178,220,42,,,True
an7583,GetSelByFreq,206,210,4,,,True
an7583,DDRPhyFreqSel,40,40,0,setFreqGroup,GetFreqBySel;setFreqGroup,False
an7583,u2DFSGetHighestFreq,80,84,4,,u2FreqMax;gUpdateHighestFreq;u2FreqMax;gUpdateHighestFreq;gFreqTbl;gFreqTbl;GetFreqBySel,False
an7583,GetEyeScanEnable,4,4,0,,,True
an7583,DDRPhyGetRealFreq,44,42,-2,FreqByMPLLRG,gddrphyfmeter_value;gddrphyfmeter_value;FreqByMPLLRG,False
