soc,function,vendor_size,candidate_size,delta,vendor_calls,candidate_calls,call_sequence_exact
an7581,CKEFixOnOff,84,60,-24,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,True
an7581,CKE_FIX_OFF,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7581,CKE_FIX_ON,28,32,4,vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk,True
an7581,DDRPhyFMeter,12,12,0,,,True
an7581,DDRPhyFreqSel,60,54,-6,setFreqGroup,GetFreqBySel;setFreqGroup,False
an7581,DDRPhyGetRealFreq,40,40,0,,,True
an7581,DramcBackupMixedRG,90,96,6,DramcBackupMixedRG_Single;__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupMixedRG_Single,False
an7581,DramcBackupMixedRG_Single,112,104,-8,u4Dram_Register_Read;vPhyByteReadFldAlign,vPhyByteReadFldAlign;mixed_mask;u4Dram_Register_Read,False
an7581,DramcBackupRegisters,90,96,6,DramcBackupRegisters_Single;__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupRegisters_Single,False
an7581,DramcBackupRegisters_Single,72,68,-4,u1NeedSkipDPMRG;vPhyByteReadFldAlign,u1NeedSkipDPMRG;vPhyByteReadFldAlign,True
an7581,DramcBroadcastOnOff,32,28,-4,,,True
an7581,DramcEngine2CheckComplete,152,144,-8,u4Dram_Register_Read;vPhyByteReadFldAlign;u4Dram_Register_Read;vPhyByteReadFldAlign;u4Dram_Register_Read;udelay;udelay,u4Dram_Register_Read;vPhyByteReadFldAlign;u4Dram_Register_Read;u4Dram_Register_Read;udelay;udelay;u4Dram_Register_Read;vPhyByteReadFldAlign,False
an7581,DramcEngine2Compare,144,152,8,u4Dram_Register_Read;u4Dram_Register_Read;u4Dram_Register_Read;DramcEngine2CheckComplete;vPhyByteIO32WriteMsk;udelay;vPhyByteIO32WriteMsk;DramcEngine2CheckComplete;vPhyByteReadFldAlign,DramcEngine2CheckComplete;vPhyByteIO32WriteMsk;udelay;vPhyByteIO32WriteMsk;DramcEngine2CheckComplete;vPhyByteReadFldAlign,False
an7581,DramcEngine2End,52,56,4,vPhyByteIO32WriteMsk;DramcSetRWOFOEN;vPhyByteWriteFldAlign,vPhyByteIO32WriteMsk;DramcSetRWOFOEN;vPhyByteWriteFldAlign,True
