soc,function,vendor_calls,candidate_calls,exact_sequence
an7581,CKEFixOnOff,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,YES
an7581,vAutoRefreshSwitch,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay,YES
an7581,vCKERankCtrl,vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,YES
an7581,DramcSetRankEngine2,vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk,vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk,YES
an7581,TestEngineCompare,DramcEngine2Init;DramcEngine2Run;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init,DramcEngine2Init;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init;DramcEngine2Run;DramcEngine2Init;DramcEngine2Run;DramcEngine2End,NO
an7581,TA2_Test_Run_Time_HW_Read,vIO32WriteMsk,vIO32WriteMsk,YES
an7581,TA2_Test_Run_Time_HW_Write,vIO32WriteMsk,vIO32WriteMsk,YES
an7581,u1NeedSkipDPMRG,,,YES
an7581,DramcBackupRegisters_Single,u1NeedSkipDPMRG;vPhyByteReadFldAlign,u1NeedSkipDPMRG;vPhyByteReadFldAlign,YES
an7581,DramcRestoreRegisters_Single,u1NeedSkipDPMRG;vPhyByteWriteFldAlign,u1NeedSkipDPMRG;vPhyByteWriteFldAlign,YES
an7581,DramcBackupMixedRG_Single,u4Dram_Register_Read;vPhyByteReadFldAlign,vPhyByteReadFldAlign;u4Dram_Register_Read,NO
an7581,DramcRestoreMixedRG_Single,vIO32WriteMsk;vPhyByteWriteFldAlign,vPhyByteWriteFldAlign;vIO32WriteMsk,NO
an7581,DramcBackupRegisters,__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;DramcBackupRegisters_Single;__meta_restore,__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupRegisters_Single,NO
an7581,DramcRestoreRegisters,DramcRestoreRegisters_Single;__meta_backup_and_set;DramcRestoreRegisters_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcRestoreRegisters_Single;__meta_advance;__meta_get;__meta_restore;DramcRestoreRegisters_Single,NO
an7581,DramcBackupMixedRG,__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;DramcBackupMixedRG_Single;__meta_restore,__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupMixedRG_Single,NO
an7581,DramcRestoreMixedRG,DramcRestoreMixedRG_Single;__meta_backup_and_set;DramcRestoreMixedRG_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcRestoreMixedRG_Single;__meta_advance;__meta_get;__meta_restore;DramcRestoreMixedRG_Single,NO
an7581,DramcModeRegRead,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;u4Dram_Register_Read;udelay;vIO32WriteMsk,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay;u4Dram_Register_Read;vIO32WriteMsk,NO
an7581,DramcModeRegReadByRank,u4Dram_Register_Read;vIO32WriteMsk;DramcModeRegRead;vIO32WriteMsk,u4Dram_Register_Read;vIO32WriteMsk;DramcModeRegRead;vIO32WriteMsk,YES
an7581,DramcModeRegWriteByRank_RTSWCMD_MRW,memset;DramcTriggerRTSWCMD,memset;DramcTriggerRTSWCMD,YES
an7581,DramcModeRegWriteByRank,printf;DramcModeRegWriteByRank_RTSWCMD_MRW,printf;memset;DramcTriggerRTSWCMD,NO
an7583,CKEFixOnOff,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk,YES
an7583,vAutoRefreshSwitch,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay,YES
an7583,vCKERankCtrl,vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,vIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vPhyByteIO32WriteMsk_All;vIO32WriteMsk_All,YES
an7583,DramcSetRankEngine2,vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk,vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk,YES
an7583,TestEngineCompare,DramcEngine2Init;DramcEngine2Run;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init,DramcEngine2Init;DramcEngine2Init;DramcEngine2Run;DramcEngine2End;DramcEngine2Init;DramcEngine2Run;DramcEngine2Init;DramcEngine2Run;DramcEngine2End,NO
an7583,TA2_Test_Run_Time_HW_Read,vIO32WriteMsk,vIO32WriteMsk,YES
an7583,TA2_Test_Run_Time_HW_Write,vIO32WriteMsk,vIO32WriteMsk,YES
an7583,u1NeedSkipDPMRG,,,YES
an7583,DramcBackupRegisters_Single,u1NeedSkipDPMRG;vPhyByteReadFldAlign,u1NeedSkipDPMRG;vPhyByteReadFldAlign,YES
an7583,DramcRestoreRegisters_Single,u1NeedSkipDPMRG;vPhyByteWriteFldAlign,u1NeedSkipDPMRG;vPhyByteWriteFldAlign,YES
an7583,DramcBackupMixedRG_Single,u4Dram_Register_Read;vPhyByteReadFldAlign,vPhyByteReadFldAlign;u4Dram_Register_Read,NO
an7583,DramcRestoreMixedRG_Single,vIO32WriteMsk;vPhyByteWriteFldAlign,vPhyByteWriteFldAlign;vIO32WriteMsk,NO
an7583,DramcBackupRegisters,__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;DramcBackupRegisters_Single;__meta_restore,__meta_backup_and_set;DramcBackupRegisters_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupRegisters_Single,NO
an7583,DramcRestoreRegisters,DramcRestoreRegisters_Single;__meta_backup_and_set;DramcRestoreRegisters_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcRestoreRegisters_Single;__meta_advance;__meta_get;__meta_restore;DramcRestoreRegisters_Single,NO
an7583,DramcBackupMixedRG,__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;DramcBackupMixedRG_Single;__meta_restore,__meta_backup_and_set;DramcBackupMixedRG_Single;__meta_advance;__meta_get;__meta_restore;DramcBackupMixedRG_Single,NO
an7583,DramcRestoreMixedRG,DramcRestoreMixedRG_Single;__meta_backup_and_set;DramcRestoreMixedRG_Single;__meta_advance;__meta_get;__meta_restore,__meta_backup_and_set;DramcRestoreMixedRG_Single;__meta_advance;__meta_get;__meta_restore;DramcRestoreMixedRG_Single,NO
an7583,DramcModeRegRead,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;u4Dram_Register_Read;udelay;vIO32WriteMsk,vIO32WriteMsk;vIO32WriteMsk;u4Dram_Register_Read;udelay;u4Dram_Register_Read;vIO32WriteMsk,NO
an7583,DramcModeRegReadByRank,u4Dram_Register_Read;vIO32WriteMsk;DramcModeRegRead;vIO32WriteMsk,u4Dram_Register_Read;vIO32WriteMsk;DramcModeRegRead;vIO32WriteMsk,YES
an7583,DramcModeRegWriteByRank_RTSWCMD_MRW,memset;DramcTriggerRTSWCMD,memset;DramcTriggerRTSWCMD,YES
an7583,DramcModeRegWriteByRank,printf;DramcModeRegWriteByRank_RTSWCMD_MRW,printf;memset;DramcTriggerRTSWCMD,NO
