soc,function,vendor_size,candidate_size,delta
an7581,CKEFixOnOff,84,56,-28
an7581,vAutoRefreshSwitch,68,78,10
an7581,vCKERankCtrl,112,116,4
an7581,DramcSetRankEngine2,54,56,2
an7581,TestEngineCompare,120,158,38
an7581,TA2_Test_Run_Time_HW_Read,44,62,18
an7581,TA2_Test_Run_Time_HW_Write,44,62,18
an7581,u1NeedSkipDPMRG,42,48,6
an7581,DramcBackupRegisters_Single,72,76,4
an7581,DramcRestoreRegisters_Single,76,88,12
an7581,DramcBackupMixedRG_Single,112,126,14
an7581,DramcRestoreMixedRG_Single,124,126,2
an7581,DramcBackupRegisters,90,108,18
an7581,DramcRestoreRegisters,100,114,14
an7581,DramcBackupMixedRG,90,108,18
an7581,DramcRestoreMixedRG,100,114,14
an7581,DramcModeRegRead,100,108,8
an7581,DramcModeRegReadByRank,88,98,10
an7581,DramcModeRegWriteByRank_RTSWCMD_MRW,50,62,12
an7581,DramcModeRegWriteByRank,40,74,34
an7583,CKEFixOnOff,84,56,-28
an7583,vAutoRefreshSwitch,68,78,10
an7583,vCKERankCtrl,112,116,4
an7583,DramcSetRankEngine2,54,56,2
an7583,TestEngineCompare,120,158,38
an7583,TA2_Test_Run_Time_HW_Read,44,62,18
an7583,TA2_Test_Run_Time_HW_Write,44,62,18
an7583,u1NeedSkipDPMRG,42,48,6
an7583,DramcBackupRegisters_Single,72,76,4
an7583,DramcRestoreRegisters_Single,76,88,12
an7583,DramcBackupMixedRG_Single,124,138,14
an7583,DramcRestoreMixedRG_Single,132,138,6
an7583,DramcBackupRegisters,72,94,22
an7583,DramcRestoreRegisters,80,100,20
an7583,DramcBackupMixedRG,72,94,22
an7583,DramcRestoreMixedRG,80,100,20
an7583,DramcModeRegRead,100,108,8
an7583,DramcModeRegReadByRank,88,98,10
an7583,DramcModeRegWriteByRank_RTSWCMD_MRW,50,62,12
an7583,DramcModeRegWriteByRank,48,74,26
