soc,function,vendor_calls,candidate_calls,exact_sequence
an7581,DramcEngine2Init,DramcSetRankEngine2;vPhyByteReadFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;DramcEngine2SetPat,DramcSetRankEngine2;vPhyByteReadFldAlign;vIO32WriteMsk;vIO32WriteMsk;DramcEngine2SetPat,False
an7581,DramcEngine2SetPat,vPhyByteIO32WriteMsk;DramcSetRWOFOEN;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,DramcSetRWOFOEN;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,False
an7581,TA2_Test_Run_Time_HW_Presetting,u4Dram_Register_Read;vIO32WriteMsk;vIO32WriteMsk;DramcSetRWOFOEN;vIO32WriteMsk,u4Dram_Register_Read;vIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;DramcSetRWOFOEN,False
an7581,TA2_Test_Run_Time_Pat_Setting,vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;vIO32WriteMsk_All;DramcEngine2SetPat,DramcEngine2SetPat,False
an7581,TA2_Show_Cnt,,,True
an7581,TA2_Test_Run_Time_HW_Status,u4Dram_Register_Read;u4Dram_Register_Read;vIO32WriteMsk;DramcEngine2CheckComplete;vPhyByteReadFldAlign;TA2_Show_Cnt;vPhyByteReadFldAlign;vPhyByteIO32WriteMsk;DramcEngine2Compare,u4Dram_Register_Read;DramcEngine2Compare;u4Dram_Register_Read;vIO32WriteMsk;DramcEngine2CheckComplete;vPhyByteReadFldAlign;TA2_Show_Cnt;vPhyByteReadFldAlign;vPhyByteIO32WriteMsk,False
an7581,TA2_Test_Run_Time_HW,TA2_Test_Run_Time_HW_Presetting;TA2_Test_Run_Time_Pat_Setting;TA2_Test_Run_Time_HW_Write;TA2_Test_Run_Time_HW_Status,TA2_Test_Run_Time_HW_Presetting;TA2_Test_Run_Time_Pat_Setting;TA2_Test_Run_Time_HW_Write;TA2_Test_Run_Time_HW_Status,True
an7581,TA2_Test_Run_Time_SW_Presetting,DramcSetRankEngine2;vPhyByteReadFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk,DramcSetRankEngine2;vPhyByteReadFldAlign;vIO32WriteMsk;vIO32WriteMsk,False
an7583,DramcEngine2Init,DramcSetRankEngine2;vPhyByteReadFldAlign;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vIO32WriteMsk;DramcEngine2SetPat,DramcSetRankEngine2;vPhyByteReadFldAlign;vIO32WriteMsk;vIO32WriteMsk;DramcEngine2SetPat,False
an7583,DramcEngine2SetPat,vPhyByteIO32WriteMsk;DramcSetRWOFOEN;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,DramcSetRWOFOEN;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk;vPhyByteIO32WriteMsk,False
