soc,file,result
an7581,Hal_io.c,PASS
an7581,TX_RX_auto_gen_library.c,PASS
an7581,DDR3_dram_init.c,PASS
an7581,DDR4_dram_init.c,PASS
an7581,HW_FUNC_MANAGE.c,PASS
an7581,MD32_initial.c,PASS
an7581,RX_path_auto_gen.c,PASS
an7581,TX_path_auto_gen.c,PASS
an7581,dramc.c,PASS
an7581,dramc_dv_dut.c,PASS
an7583,Hal_io.c,PASS
an7583,TX_RX_auto_gen_library.c,PASS
an7583,DDR3_dram_init.c,PASS
an7583,DDR4_dram_init.c,PASS
an7583,HW_FUNC_MANAGE.c,PASS
an7583,MD32_initial.c,PASS
an7583,RX_path_auto_gen.c,PASS
an7583,TX_path_auto_gen.c,PASS
an7583,dramc.c,PASS
an7583,dramc_dv_dut.c,PASS
an7583,dramc_selfrefresh_api.c,PASS
an7583,dramtest.c,PASS
